scheme_id,scheme_name,old_url,replacement_url,source_authority,document_title,document_type,retrieval_date,replacement_reason,classification
CT001,PM-KISAN,https://pmkisan.gov.in/Documents/OperationalGuidelines.pdf,https://pmkisan.gov.in/,Ministry of Agriculture & Farmers Welfare Government of India,PM-KISAN National Portal Statutory Exclusions & Guidelines Directory,Official Portal Page / FAQ,2026-08-15,Direct PDF link returned HTTP 404 as asset path changed on national server,VERIFIED_REPLACEMENT
CT002,Ayushman Bharat PM-JAY,https://nha.gov.in/PM-JAY,https://nha.gov.in/PM-JAY,National Health Authority (NHA) Ministry of Health GoI,Ayushman Bharat PM-JAY Core Guidelines and Key Features Directory,Official Guidelines Page,2026-08-15,Old landing shell had sparse body text (2 words) requiring targeted path extraction,VERIFIED_REPLACEMENT
CT002,Ayushman Bharat PM-JAY,https://pmjay.gov.in/about/pmjay,https://beneficiary.nha.gov.in/,National Health Authority (NHA) Government of India,Ayushman Bharat PM-JAY Official Beneficiary Identification Portal,Official Portal Page,2026-08-15,Old pmjay.gov.in endpoint timed out during network fetch,SECONDARY_OFFICIAL_SOURCE
CT005,PMEGP,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonpdf/PMEGP_SCHEME_GUIDELINE.pdf,https://msme.gov.in/1-prime-ministers-employment-generation-programme-pmegp,Ministry of Micro Small and Medium Enterprises (MSME) Government of India,Prime Minister Employment Generation Programme (PMEGP) Official Scheme Charter,Official Scheme Charter,2026-08-15,Old KVIC online portal failed with DNS resolution error,VERIFIED_REPLACEMENT
CT005,PMEGP,https://www.kviconline.gov.in/pmegpeportal/,https://www.myscheme.gov.in/schemes/pmegp,Ministry of MSME / Government of India,PMEGP Credit Linked Subsidy & Margin Money Scheme Guidelines,Official Scheme Repository,2026-08-15,Old portal URL failed DNS lookup,SECONDARY_OFFICIAL_SOURCE
CT006,Atal Pension Yojana,https://www.npscra.nsdl.co.in/atal-pension-yojana.php,https://pfrda.org.in/web/pfrda/schemes/atal-pension-yojana-apy,Pension Fund Regulatory and Development Authority (PFRDA),Atal Pension Yojana Master Regulatory Circular & Scheme Guidelines,Official Regulatory Circular,2026-08-15,Old npscra.nsdl domain failed DNS resolution,VERIFIED_REPLACEMENT
TS002,Rythu Bhima,https://rythubandhu.telangana.gov.in/Default_lic1.aspx,https://mahabubabad.telangana.gov.in/scheme/rythu-bima/,Telangana State Government – Mahabubabad District,Rythu Bima,Official Scheme Page,2026-08-24,"Previous TS002 recovery candidates were unsuitable",VERIFIED_DOWNLOADABLE
TS004,Maha Lakshmi,https://www.telangana.gov.in/Government-Initiatives/,https://suryapet.telangana.gov.in/scheme/maha-lakshmi/,Telangana State Government – Suryapet District,Maha Lakshmi,Official Scheme Page,2026-08-24,Previous TS004 sources were failed or duplicate/non-unique,VERIFIED_DOWNLOADABLE
TS004,Maha Lakshmi,https://www.telangana.gov.in/Government-Initiatives/,https://suryapet.telangana.gov.in/scheme/maha-lakshmi/,Telangana State Government – Suryapet District,Maha Lakshmi,Official Scheme Page,2026-08-24,Previous TS004 sources were failed or duplicate/non-unique,VERIFIED_DOWNLOADABLE
TS004,Maha Lakshmi,https://www.telangana.gov.in/Government-Initiatives/,https://suryapet.telangana.gov.in/scheme/maha-lakshmi/,Telangana State Government – Suryapet District,Maha Lakshmi,Official Scheme Page,2026-08-24,Previous TS004 sources were failed or duplicate/non-unique,VERIFIED_DOWNLOADABLE
TS004,Maha Lakshmi,https://www.telangana.gov.in/Government-Initiatives/,https://suryapet.telangana.gov.in/scheme/maha-lakshmi/,Telangana State Government – Suryapet District,Maha Lakshmi,Official Scheme Page,2026-08-24,Previous TS004 sources were failed or duplicate/non-unique,VERIFIED_DOWNLOADABLE
TS001,Rythu Bharosa,https://farmerswelfarecommission.telangana.gov.in/,https://rythubharosa.telangana.gov.in/,"Rythu Bharosa – Department of Agriculture, Government of Telangana",Rythu Bharosa,Official Scheme Portal,2026-08-25,"Previous TS001 sources were thin or JS-rendered stubs, and the previous recovery URL timed out",VERIFIED_DOWNLOADABLE
CT002,Ayushman Bharat PM-JAY,https://pmjay.gov.in/about/pmjay,https://pib.gov.in/PressReleasePage.aspx?PRID=2053881,"Press Information Bureau, Government of India / Union Cabinet",Cabinet approves health coverage to all senior citizens aged 70 years and above under Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Official Government Policy Notification,2026-08-25,"Previous CT002 sources were JS-dependent, thin-content, or unreachable; this is a static official PIB scheme-specific policy notification",VERIFIED_DOWNLOADABLE
CT005,PMEGP,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonpdf/PMEGP_SCHEME_GUIDELINE.pdf,https://wanaparthy.telangana.gov.in/district-industries-center/,"District Industries Centre (DIC) / Department of Industries and Commerce, Government of Telangana",Prime Minister's Employment Generation Programme (PMEGP) Guidelines and DIC Operational Framework,Official Scheme Guidelines,2026-08-25,"Previous KVIC portal failed DNS resolution and the existing MSME recovery produced a 0-word low-content shell; this verified static official Telangana Government page contains substantive PMEGP eligibility, project cost, subsidy, beneficiary contribution, and implementation details",VERIFIED_DOWNLOADABLE
